;(Intercept);Emersion;Population;Salinity;Temperature;Emersion:Population;Emersion:Salinity;Emersion:Temperature;Population:Salinity;Population:Temperature;Salinity:Temperature;Emersion:Population:Salinity;Emersion:Population:Temperature;Emersion:Salinity:Temperature;Population:Salinity:Temperature;Emersion:Population:Salinity:Temperature;df;logLik;AICc;delta;weight
5;6.010168666;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-663.7014945;1339.51082;0;0.070088197
24;6.057887487;+;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-660.7709668;1339.773892;0.263072892;0.061449639
20;6.063253259;+;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-661.855594;1339.896516;0.385696568;0.057795223
1;6.010653644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-664.9780937;1340.033111;0.522291036;0.053979745
7;6.045543747;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-663.3055288;1340.755016;1.244196864;0.03762452
1208;6.042679551;+;+;+;NA;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;12;-658.2805666;1340.964755;1.45393585;0.033878699
3;6.051190856;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-664.5362892;1341.180409;1.669589455;0.030415723
152;6.054654593;+;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;10;-660.5474447;1341.37876;1.867940926;0.027543978
6;6.011464558;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-663.6860907;1341.51614;2.005320701;0.025715503
13;6.010320217;NA;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-663.695672;1341.535303;2.024483294;0.025470292
56;6.05616087;+;+;+;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-660.6840376;1341.651946;2.141126632;0.02402731
32;6.058687049;+;+;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-660.7403177;1341.764506;2.253686781;0.0227124
544;6.064051457;+;+;+;+;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;11;-659.7569294;1341.854944;2.344124579;0.021708244
28;6.064094409;+;+;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-661.8129162;1341.857791;2.346971614;0.021677364
525;6.011493335;NA;NA;+;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;8;-662.8903443;1341.966017;2.455197163;0.020535515
9;6.010872696;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-664.9631673;1342.034165;2.523345563;0.019847571
2;6.011370082;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-664.9744982;1342.056827;2.546007458;0.019623948
135;6.041927697;NA;+;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;8;-663.0161316;1342.217591;2.706771852;0.018108265
8;6.046290505;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-663.2821728;1342.749674;3.238854185;0.013878312
15;6.04606496;NA;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-663.2944686;1342.774265;3.263445921;0.013708711
1216;6.042971989;+;+;+;+;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;13;-658.2769893;1343.025481;3.51466157;0.012090543
527;6.051599506;NA;+;+;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;9;-662.4430184;1343.117996;3.607176066;0.011544006
11;6.051847977;NA;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-664.5141207;1343.1722;3.66138079;0.011235338
4;6.051702027;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-664.527651;1343.199261;3.68844124;0.011084345
184;6.052769516;+;+;+;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;11;-660.4417678;1343.224621;3.713801408;0.010944682
38;6.013619063;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-663.5233198;1343.231968;3.721148339;0.010904551
160;6.055404924;+;+;+;+;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;11;-660.5232378;1343.387561;3.876741391;0.010088374
14;6.01165524;+;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-663.6797919;1343.544912;4.034092495;0.009325086
672;6.060939465;+;+;+;+;+;NA;NA;+;NA;+;NA;NA;NA;NA;NA;12;-659.588548;1343.580718;4.069898621;0.009159624
1728;6.047937547;+;+;+;+;+;+;NA;+;NA;+;+;NA;NA;NA;NA;14;-657.5346934;1343.614134;4.103314343;0.009007857
64;6.056991716;+;+;+;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;-660.655418;1343.651921;4.141101675;0.008839264
288;6.058837016;+;+;+;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;11;-660.7399842;1343.821054;4.31023417;0.008122495
96;6.058614139;+;+;+;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;11;-660.7400615;1343.821208;4.31038877;0.008121867
576;6.062890239;+;+;+;+;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;12;-659.7120891;1343.827801;4.316981005;0.00809514
284;6.064594648;+;+;NA;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;10;-661.8093739;1343.902619;4.391799264;0.007797902
92;6.064054662;+;+;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;10;-661.8128303;1343.909532;4.39871207;0.007770996
800;6.064581646;+;+;+;+;+;NA;NA;NA;+;+;NA;NA;NA;NA;NA;12;-659.7530184;1343.909659;4.398839492;0.007770501
