"","(Intercept)","Emersion","Population","Salinity","Temperature","Emersion:Population","Emersion:Salinity","Emersion:Temperature","Population:Salinity","Population:Temperature","Salinity:Temperature","Emersion:Population:Salinity","Emersion:Population:Temperature","Emersion:Salinity:Temperature","Population:Salinity:Temperature","Emersion:Population:Salinity:Temperature","df","logLik","AICc","delta","weight"
"92",-0.939081242803351,"+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,21,82.0628488650342,-119.573211542223,0,0.148809018496838
"9184",-0.939081242803351,"+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,"+",NA,32,94.5999729590628,-119.182851901032,0.390359641191466,0.122423201658021
"96",-0.939081242803351,"+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,22,82.6034866978267,-118.40364929593,1.16956224629264,0.0829205238923845
"76",-0.93908124280335,"+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,18,77.6379238355225,-117.401875068305,2.17133647391772,0.0502492434840062
"348",-0.939081242803351,"+","+",NA,"+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,24,84.3210080563397,-117.299397728278,2.27381381394486,0.0477393889728212
"11232",-0.939081242803352,"+","+","+","+","+",NA,"+","+","+","+",NA,"+",NA,"+",NA,35,97.1342859826129,-117.027192654881,2.54601888734216,0.0416647015644574
"9216",-0.939081242803351,"+","+","+","+","+","+","+","+","+","+",NA,NA,NA,"+",NA,33,94.6177449687601,-116.824061366092,2.74915017613154,0.0376408027175852
"80",-0.939081242803351,"+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,19,78.2093980632646,-116.330884038617,3.24232750360589,0.0294148596502127
"128",-0.939081242803352,"+","+","+","+","+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,23,82.6279585710603,-116.189250475454,3.3839610667692,0.0274038412549744
"608",-0.939081242803351,"+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,23,82.6059061332921,-116.145145599918,3.42806594230548,0.0268061344198555
"352",-0.939081242803351,"+","+","+","+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,25,84.873226921295,-116.115168926389,3.45804261583423,0.0264073510649659
"20",-0.939081242803352,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,77.8799736546811,-115.67203522145,3.90117632077305,0.0211592162769645
"28",-0.93908124280335,"+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,78.7408991361724,-115.167748685568,4.40546285665515,0.0164435335129779
"332",-0.939081242803352,"+","+",NA,"+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,21,79.704599986404,-114.856713784963,4.71649775726041,0.0140752065673996
"3",-0.939081242803351,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,73.0549202895013,-114.805492752916,4.76771878930745,0.0137193100630876
"11264",-0.939081242803352,"+","+","+","+","+","+","+","+","+","+",NA,"+",NA,"+",NA,36,97.1518018322166,-114.626370235038,4.94684130718478,0.0125440076711553
"13312",-0.939081242803352,"+","+","+","+","+","+","+","+","+","+",NA,NA,"+","+",NA,34,94.7036677933725,-114.587851346057,4.98536019616586,0.0123047286385399
"10240",-0.939081242803351,"+","+","+","+","+","+","+","+","+","+","+",NA,NA,"+",NA,36,97.0490067959863,-114.420780162578,5.15243137964539,0.011318607342405
"112",-0.939081242803351,"+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,20,78.2338315011158,-114.153613415455,5.41959812676838,0.00990326663014621
"592",-0.939081242803349,"+","+","+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,20,78.2120783866039,-114.110107186431,5.46310435579208,0.00969016594210253
"24",-0.939081242803351,"+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,78.1841115220504,-114.054173457324,5.51903808489907,0.00942291686185885
"480",-0.939081242803351,"+","+","+","+","+",NA,"+","+","+",NA,NA,NA,NA,NA,NA,28,87.2852821903862,-113.995916493448,5.57729504877469,0.009152400589201
"2396",-0.93908124280335,"+","+",NA,"+","+",NA,"+",NA,"+",NA,NA,"+",NA,NA,NA,27,86.0873018369746,-113.927412662713,5.64579887950978,0.00884422133262484
"640",-0.939081242803349,"+","+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,24,82.6213669864756,-113.90011558855,5.67309595367311,0.00872433067696031
"384",-0.939081242803351,"+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,NA,NA,26,84.8940761504628,-113.855379191682,5.71783235054129,0.00853134948420452
"9120",-0.939081242803352,"+","+","+","+","+",NA,NA,"+","+","+",NA,NA,NA,"+",NA,31,90.7355682191397,-113.834772801916,5.73843874030736,0.00844390060288605
