Name	Longitude	Latitude	temp_min	temp_min		Temp min	number of presences		Latitude	number of presences	Mean SSTmin
Fucus serratus	-8.748	41.149	12.23281956	12.2		.-1.8 - -1.6	6		41	4	12.20065236
Fucus serratus	-8.823	41.641	12.08998966	12.1		"""-1.6 - -1.1"	3		42	8	12.18068266
Fucus serratus	-8.939	41.652	12.25207043	12.3		"""-1.1 - -0.5"	4		43	26	12.03058151
Fucus serratus	-8.936	41.709	12.2277298	12.2		!-0.6 - 0	56		44	1	10.08852005
Fucus serratus	-8.756	42.241	12.15025043	12.2		0.1 - 0.5	10		45	0	
Fucus serratus	-9.014	42.49	12.20065022	12.2		0.6 - 1	6		46	2	8.02294254
Fucus serratus	-8.842	42.587	12.13374996	12.1		1.1 - 1.5	13		47	3	7.92033720
Fucus serratus	-8.841	42.638	12.09998989	12.1		1.6 - 2	6		48	11	8.18262001
Fucus serratus	-9.011	42.727	12.17216015	12.2		2.1 - 2.5	9		49	28	7.40656812
Fucus serratus	-9.075	42.732	12.21226978	12.2		2.6 - 3	12		50	55	7.29589668
Fucus serratus	-9.174	42.743	12.23208046	12.2		3.1 - 3.5	8		51	61	6.31953363
Fucus serratus	-9.171	42.81	12.24431038	12.2		3.6 - 4	13		52	24	7.27890988
Fucus serratus	-9.258	43.084	12.36674023	12.4		4.1 - 4.5	16		53	34	6.78409617
Fucus serratus	-9.252	43.151	12.36221981	12.4		4.6 - 5	37		54	66	5.55501611
Fucus serratus	-9.111	43.204	12.36281967	12.4		5.1 - 5.5	14		55	74	4.66039677
Fucus serratus	-8.422	43.37	12.26369953	12.3		5.6 - 6	50		56	75	2.95416980
Fucus serratus	-8.349	43.381	12.25998974	12.3		6.1 - 6.5	124		57	64	4.53634393
Fucus serratus	-8.258	43.382	12.2525301	12.3		6.6 - 7	69		58	36	4.50501466
Fucus serratus	-4.409	43.397	11.78450012	11.8		7.1 - 7.5	46		59	13	1.69875392
Fucus serratus	-8.258	43.489	12.23742008	12.2		7.6 - 8	42		60	6	4.27839649
Fucus serratus	-5.669	43.544	11.84801006	11.8		8.1 - 8.5	27		61	10	5.81960459
Fucus serratus	-6.343	43.545	11.92243004	11.9		8.6 - 9	17		62	2	3.64047003
Fucus serratus	-5.595	43.548	11.84617043	11.8		9.1 - 9.5	2		63	4	3.62362152
Fucus serratus	-7.006	43.556	11.92175961	11.9		9.6 - 10	0		64	2	-1.77765250
Fucus serratus	-5.254	43.558	11.85505009	11.9		10.1 - 10.5	1		65	1	-1.77674305
Fucus serratus	-6.761	43.558	11.91403961	11.9		10.6 - 11	0		66	3	-1.80544305
Fucus serratus	-7.102	43.558	11.92887974	11.9		11.1 - 11.5	0		67	1	2.77615595
Fucus serratus	-6.592	43.562	11.91749954	11.9		11.6 - 12	17		68	0	
Fucus serratus	-7.177	43.563	11.93807983	11.9		12.1 - 12.5	21		69	12	1.73924790
Fucus serratus	-6.507	43.565	11.9204998	11.9					70	2	2.02001351
Fucus serratus	-6.674	43.566	11.91726971	11.9							
Fucus serratus	-5.762	43.63	11.8577404	11.9							
Fucus serratus	-7.261	43.638	11.95234013	12.0							
Fucus serratus	-7.424	43.698	11.99932003	12.0							
Fucus serratus	-7.502	43.7	12.01179028	12.0							
Fucus serratus	-7.843	43.725	12.10997009	12.1							
Fucus serratus	-7.346	43.727	11.97554016	12.0							
Fucus serratus	-7.693	43.74	12.06881046	12.1							
Fucus serratus	-1.171	44.71	10.08852005	10.1							
Fucus serratus	-1.167	46.127	7.901436806	7.9							
Fucus serratus	-2.261	46.794	8.14444828	8.1							
Fucus serratus	-2.475	47.299	7.515078068	7.5							
Fucus serratus	-2.576	47.516	7.49489212	7.5							
Fucus serratus	-3.954	47.828	8.751041412	8.8							
Fucus serratus	-4.569	48.231	8.873292923	8.9							
Fucus serratus	-2.064	48.64	7.219994068	7.2							
Fucus serratus	-1.845	48.676	6.769993782	6.8							
Fucus serratus	-4.131	48.698	8.973690033	9.0							
Fucus serratus	-4.172	48.705	9.050227165	9.1							
Fucus serratus	-3.992	48.725	8.898406029	8.9							
Fucus serratus	-3.994	48.731	8.898406029	8.9							
Fucus serratus	-3.988	48.732	8.898406029	8.9							
Fucus serratus	-4.375	48.733	9.110611916	9.1							
Fucus serratus	-1.576	48.823	6.657896042	6.7							
Fucus serratus	-1.591	48.832	6.657896042	6.7							
Fucus serratus	-2.25	49.18	7.461676121	7.5							
Fucus serratus	-0.304	49.299	6.269323826	6.3							
Fucus serratus	-2.028	49.303	7.235435009	7.2							
Fucus serratus	-0.348	49.318	6.269323826	6.3							
Fucus serratus	-0.348	49.318	6.269323826	6.3							
Fucus serratus	-1.808	49.372	7.209993839	7.2							
Fucus serratus	-0.619	49.383	6.429994106	6.4							
Fucus serratus	-2.663	49.435	8.012657166	8.0							
Fucus serratus	-2.514	49.506	7.990115166	8.0							
Fucus serratus	-1.886	49.53	7.587510109	7.6							
Fucus serratus	-1.94	49.67	7.73522377	7.7							
Fucus serratus	-1.447	49.694	7.368035793	7.4							
Fucus serratus	-1.266	49.71	7.176506042	7.2							
Fucus serratus	-1.645	49.711	7.62716198	7.6							
Fucus serratus	-2.019	49.722	7.865972996	7.9							
Fucus serratus	-1.94	49.727	7.838657856	7.8							
Fucus serratus	-1.939	49.727	7.838657856	7.8							
Fucus serratus	-1.458	49.736	7.368035793	7.4							
Fucus serratus	-2.033	49.742	7.865972996	7.9							
